household_id,country,urban_rural,income_decile,age_head_band,household_size,dwelling_type,dwelling_age_band,building_efficiency_class,heating_fuel,annual_income_eur,annual_energy_spend_eur,is_energy_burdened
1,PT,urban,1,35-65,2,apartment,20-50yr,D,wood,7606.26,1705.49,1
2,ES,suburban,8,<35,4,other,20-50yr,B,district,31147.75,291.75,0
3,LV,suburban,3,<35,2,apartment,<20yr,D,wood,16018.17,1101.2,0
4,PT,urban,8,>65,2,house,>50yr,F,wood,35885.77,1036.19,0
5,IT,urban,6,35-65,5,apartment,20-50yr,E,electric,26273.42,1092.41,0
6,LV,urban,3,<35,2,house,>50yr,G,wood,16494.62,2161.53,1
7,PT,suburban,5,35-65,3,house,20-50yr,F,district,26480.12,1149.74,0
8,PT,suburban,1,35-65,1,apartment,>50yr,F,electric,5677.61,2505.85,1
9,IT,suburban,8,>65,2,house,>50yr,D,gas,35424.52,698.24,0
10,ES,urban,4,35-65,1,apartment,>50yr,C,gas,13608.07,553.44,0
11,ES,urban,4,<35,4,house,20-50yr,G,wood,26340.55,1076.07,0
12,LV,suburban,2,<35,1,apartment,>50yr,E,district,11251.57,1902.71,1
13,ES,urban,4,35-65,3,house,20-50yr,G,gas,20250.41,1103.35,0
14,PT,suburban,4,35-65,6,apartment,>50yr,E,district,15928.9,1795.26,1
15,ES,urban,3,35-65,1,house,20-50yr,D,gas,13273.15,1008.4,0
16,IT,urban,10,35-65,4,apartment,20-50yr,B,electric,64860.5,400.34,0
17,ES,suburban,3,35-65,2,house,20-50yr,D,district,15124.61,1110.65,0
18,IT,suburban,2,35-65,1,apartment,20-50yr,E,district,14147.73,1070.27,0
19,PT,suburban,6,<35,6,apartment,20-50yr,G,electric,22058.94,1810.34,0
20,ES,urban,4,<35,1,house,20-50yr,F,district,16936.88,808.96,0
21,PT,rural,5,35-65,1,apartment,<20yr,E,wood,22680.22,839.33,0
22,ES,rural,8,35-65,6,apartment,>50yr,D,wood,39780.3,676.64,0
23,LV,rural,1,>65,1,house,20-50yr,A,wood,8519.29,873.78,1
24,LV,suburban,6,<35,2,apartment,<20yr,D,gas,20499.65,876.04,0
25,PT,suburban,1,35-65,4,house,>50yr,G,gas,6945.16,4074.93,1
26,IT,suburban,1,<35,2,apartment,20-50yr,F,gas,8420.62,2004.87,1
27,ES,urban,1,35-65,1,other,>50yr,E,gas,6346.75,1666.85,1
28,IT,urban,2,<35,4,house,20-50yr,G,gas,9631.03,2094.66,1
29,IT,suburban,4,35-65,1,apartment,<20yr,A,gas,17598.24,251.62,0
30,PT,urban,10,<35,1,apartment,20-50yr,G,gas,48955.87,646.1,0
31,PT,urban,10,<35,1,house,>50yr,E,electric,56924.48,727.3,0
32,LV,rural,2,35-65,1,house,>50yr,A,gas,10853.14,744.89,0
33,IT,urban,10,35-65,2,apartment,>50yr,F,gas,48867.26,698.72,0
34,ES,suburban,7,35-65,1,apartment,<20yr,B,gas,26749.69,377.76,0
35,ES,suburban,6,35-65,1,apartment,>50yr,E,gas,30282.18,767.88,0
36,IT,urban,8,>65,1,house,20-50yr,D,oil,38135.19,684.7,0
37,IT,rural,5,35-65,1,house,20-50yr,C,wood,21793.71,461.41,0
38,ES,urban,3,35-65,5,apartment,20-50yr,E,oil,14115.68,1934.32,1
39,IT,rural,6,>65,1,apartment,>50yr,D,oil,21818.58,644.46,0
40,PT,suburban,8,35-65,4,house,>50yr,B,district,33077.84,551.8,0
41,ES,urban,7,35-65,5,other,20-50yr,F,oil,20928.02,1079.7,0
42,PT,urban,2,35-65,2,apartment,>50yr,C,gas,9998.34,1369.01,1
